name,online_order,book_table,rate,votes,rest_type,cuisines,cost2plates,type,location
Akash Gowdru Biryani Center,No,No,3,0,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
New Sri Udupi Restaurant,No,No,3,0,Quick Bites,others,200,Delivery,Banashankari
Potato House,Yes,No,3,9,Quick Bites,Street Food,200,Delivery,Banashankari
Hotel Biriyani Counter,No,No,3,0,Quick Bites,"North Indian, Chinese, Biryani",350,Delivery,Banashankari
Matru Sagar,Yes,No,3,31,Quick Bites,"South Indian, North Indian",300,Delivery,Banashankari
Ugadi,Yes,No,2,177,Casual Dining,others,700,Delivery,Banashankari
Sri Krishna Sweets,Yes,No,3,22,others,others,250,Delivery,Banashankari
In Time Cane Juice,Yes,No,3,10,others,others,100,Delivery,Banashankari
Subway,Yes,No,3,136,Quick Bites,others,600,Delivery,Banashankari
Daal Roti,Yes,No,2,35,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
The Lassi Park,Yes,No,4,185,Quick Bites,others,200,Delivery,Banashankari
Cafe Coffee Day,Yes,No,3,17,Cafe,"Cafe, Fast Food",900,Delivery,Banashankari
A2B - Adyar Ananda Bhavan,Yes,No,3,155,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,Delivery,Banashankari
Srikrishna Bhavan,Yes,No,3,42,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Banashankari
Timepass Dinner,Yes,No,3,286,Casual Dining,North Indian,600,Delivery,Banashankari
Green Gardenia,Yes,No,3,160,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
J Spice,Yes,No,3,59,Casual Dining,"North Indian, Chinese",750,Delivery,Banashankari
Karavali Family Restaurant,Yes,No,3,90,Casual Dining,others,500,Delivery,Banashankari
Karavali Lunch Home,Yes,No,3,51,Quick Bites,others,350,Delivery,Banashankari
Hatti Kaapi,Yes,No,4,89,Quick Bites,others,200,Delivery,Banashankari
Kolkata Kathi Roll's,Yes,No,3,18,Quick Bites,"Fast Food, Rolls",250,Delivery,Banashankari
Upahara Darshini,Yes,No,3,40,Casual Dining,others,600,Delivery,Banashankari
The Chaat Shop,Yes,No,2,35,Quick Bites,Fast Food,200,Delivery,Banashankari
Anda Ka Funda,Yes,No,3,89,Quick Bites,others,250,Delivery,Banashankari
Shri Vinayaka Ice N Juice,Yes,No,3,11,Quick Bites,"Beverages, Fast Food",150,Delivery,Banashankari
My Tea House,Yes,No,3,62,others,others,600,Delivery,Banashankari
Ibaco,Yes,No,3,33,Dessert Parlor,Desserts,300,Delivery,Banashankari
Jalaram Sweets,Yes,No,3,32,others,others,250,Delivery,Banashankari
Samskruti - Sanman Gardenia,Yes,No,4,139,Casual Dining,"North Indian, Chinese, South Indian",550,Delivery,Banashankari
